lga_code,lda_name,year,population
10050,Albury,2016,53705
10050,Albury,2018,54353
10130,Armidale Regional,2016,30681
10130,Armidale Regional,2018,30779
10250,Ballina,2016,44172
10300,Balranald,2016,2338
10470,Bathurst Regional,2016,43163
10500,Bayside,2016,174218
10550,Bega Valley,2016,34315
10600,Bellingen,2016,12953
10650,Berrigan,2016,8700
10750,Blacktown,2016,366078
10800,Bland,2016,5979
10850,Blayney,2016,7334
10900,Blue Mountains,2016,79191
10950,Bogan,2016,2618
11150,Bourke,2016,2626
11200,Brewarrina,2016,1653
11250,Broken Hill,2016,17715
11300,Burwood,2016,39864
11350,Byron,2016,34545
11400,Cabonne,2016,13667
11450,Camden,2016,94029
11500,Campbelltown,2016,167930
11520,Canada Bay,2016,95064
11570,Canterbury-Bankstown,2016,373486
11600,Carrathool,2016,2799
11650,Central Coast,2016,341693
11700,Central Darling,2016,1835
11720,Cessnock,2016,59029
11730,Clarence Valley,2016,51598
11750,Cobar,2016,4715
11800,Coffs Harbour,2016,76480
12000,Coolamon,2016,4363
12150,Coonamble,2016,4008
12160,Cootamundra-Gundagai Regional,2016,11250
12350,Cowra,2016,12753
12380,Cumberland,2016,236599
12390,Dubbo Regional,2016,53167
12700,Dungog,2016,9336
12730,Edward River,2016,8984
12750,Eurobodalla,2016,38253
12850,Fairfield,2016,210417
12870,Federation,2016,12450
12900,Forbes,2016,9898
12930,Georges River,2016,158283
12950,Gilgandra,2016,4221
13010,Glen Innes Severn,2016,8900
13310,Goulburn Mulwaree,2016,30823
13340,Greater Hume Shire,2016,10675
13450,Griffith,2016,26849
13550,Gunnedah,2016,12643
13660,Gwydir,2016,5344
13800,Hawkesbury,2016,67007
13850,Hay,2016,2975
13910,Hilltops,2016,18759
14000,Hornsby,2016,150632
14100,Hunters Hill,2016,14898
14170,Inner West,2016,197836
14200,Inverell,2016,16825
14300,Junee,2016,6625
14350,Kempsey,2016,29633
14400,Kiama,2016,22987
14500,Ku-ring-gai,2016,125965
